*	*	2534057	1.0	
ele20847	sna80324	183	7.22162129739e-05	
dai22896	dai62779	182	7.18215888593e-05	
dai62779	ele74009	182	7.18215888593e-05	
ele17451	fro31317	182	7.18215888593e-05	
dai62779	fro85978	181	7.14269647447e-05	
dai62779	gro94758	181	7.14269647447e-05	
gro69543	gro73461	181	7.14269647447e-05	
dai62779	ele56788	180	7.10323406301e-05	
dai31081	gro73461	179	7.06377165155e-05	
dai43223	ele17451	179	7.06377165155e-05	
ele26917	gro73461	179	7.06377165155e-05	
dai88807	sna59903	178	7.02430924008e-05	
ele32164	ele62598	178	7.02430924008e-05	
fro40251	gro94758	178	7.02430924008e-05	
dai62779	dai92600	177	6.98484682862e-05	
dai75645	ele17451	177	6.98484682862e-05	
ele17451	fro31317	177	6.98484682862e-05	
ele17451	gro71621	177	6.98484682862e-05	
dai62779	gro88324	176	6.94538441716e-05	
dai62779	ele12792	175	6.9059220057e-05	
dai62779	ele56788	175	6.9059220057e-05	
ele92920	fro40251	175	6.9059220057e-05	
ele20847	fro40251	174	6.86645959424e-05	
gro59710	gro73461	174	6.86645959424e-05	
dai35347	fro31317	173	6.82699718278e-05	
fro40251	sna55762	172	6.78753477132e-05	
dai55148	ele17451	171	6.74807235986e-05	
dai63921	fro85978	171	6.74807235986e-05	
ele17451	gro73461	171	6.74807235986e-05	
ele88583	sna24799	171	6.74807235986e-05	
sna45677	sna96271	171	6.74807235986e-05	
dai22177	gro73461	170	6.7086099484e-05	
dai48891	dai62779	170	6.7086099484e-05	
dai62779	fro16142	170	6.7086099484e-05	
dai62779	fro32293	170	6.7086099484e-05	
dai75645	gro38814	170	6.7086099484e-05	
ele17451	gro85051	170	6.7086099484e-05	
fro85978	sna99873	170	6.7086099484e-05	
gro71621	sna80324	170	6.7086099484e-05	
dai62779	ele91337	169	6.66914753693e-05	
ele17451	sna80324	169	6.66914753693e-05	
ele17451	sna99873	169	6.66914753693e-05	
ele37770	ele74482	169	6.66914753693e-05	
gro44993	gro73461	169	6.66914753693e-05	
dai85309	fro85978	168	6.62968512547e-05	
gro73461	gro81647	168	6.62968512547e-05	
gro94758	sna80324	168	6.62968512547e-05	
dai75645	sna55762	167	6.59022271401e-05	
dai85309	ele92920	167	6.59022271401e-05	
ele32164	fro53271	167	6.59022271401e-05	
dai63921	dai85309	166	6.55076030255e-05	
dai75645	fro47962	166	6.55076030255e-05	
dai85309	gro56726	166	6.55076030255e-05	
dai85309	sna99873	166	6.55076030255e-05	
ele78169	gro94758	166	6.55076030255e-05	
gro73461	sna55762	166	6.55076030255e-05	
sna59903	sna72163	166	6.55076030255e-05	
dai62779	fro31317	165	6.51129789109e-05	
fro31317	gro73461	165	6.51129789109e-05	
sna45677	sna80324	165	6.51129789109e-05	
dai31081	ele32164	164	6.47183547963e-05	
gro73461	gro81647	164	6.47183547963e-05	
dai55911	fro40251	162	6.39291065671e-05	
ele17451	sna59903	162	6.39291065671e-05	
dai85309	fro19221	161	6.35344824524e-05	
dai88088	ele38289	161	6.35344824524e-05	
ele17451	gro94758	161	6.35344824524e-05	
fro73056	gro73461	161	6.35344824524e-05	
fro85978	sna93860	161	6.35344824524e-05	
dai62779	fro35904	160	6.31398583378e-05	
dai83733	gro46854	160	6.31398583378e-05	
dai85309	sna90094	160	6.31398583378e-05	
ele78169	sna45677	160	6.31398583378e-05	
dai83733	gro73461	158	6.23506101086e-05	
dai85309	gro94758	158	6.23506101086e-05	
ele74482	sna99873	158	6.23506101086e-05	
dai75645	sna45677	157	6.1955985994e-05	
ele91337	fro85978	157	6.1955985994e-05	
gro21487	gro38814	157	6.1955985994e-05	
gro30386	sna80324	157	6.1955985994e-05	
dai62779	sna96271	156	6.15613618794e-05	
ele17451	gro59710	156	6.15613618794e-05	
ele32164	ele74009	156	6.15613618794e-05	
fro16142	gro73461	156	6.15613618794e-05	
fro40251	gro21487	156	6.15613618794e-05	
dai75645	ele74009	155	6.11667377648e-05	
dai75645	gro30386	155	6.11667377648e-05	
dai62779	gro15017	154	6.07721136502e-05	
ele17451	gro46854	154	6.07721136502e-05	
fro31317	fro40251	154	6.07721136502e-05	
dai22896	gro38814	153	6.03774895356e-05	
dai62779	fro53271	153	6.03774895356e-05	
fro78087	gro73461	153	6.03774895356e-05	
gro21487	sna80324	153	6.03774895356e-05	
gro61133	gro81087	153	6.03774895356e-05	
dai35347	fro31317	152	5.99828654209e-05	
ele66810	fro41939	152	5.99828654209e-05	
ele74009	fro40251	152	5.99828654209e-05	
fro31317	sna99873	152	5.99828654209e-05	
dai22896	dai75645	151	5.95882413063e-05	
ele99737	sna45677	151	5.95882413063e-05	
fro19221	sna53220	151	5.95882413063e-05	
fro92469	gro73461	151	5.95882413063e-05	
dai42493	fro40251	150	5.91936171917e-05	
dai62779	ele62598	150	5.91936171917e-05	
dai63921	gro46854	150	5.91936171917e-05	
dai75645	ele26917	150	5.91936171917e-05	
dai75645	gro94758	150	5.91936171917e-05	
dai83733	dai85309	150	5.91936171917e-05	
dai88807	sna59903	150	5.91936171917e-05	
ele17451	gro81087	150	5.91936171917e-05	
ele34057	gro73461	150	5.91936171917e-05	
ele92920	gro15017	150	5.91936171917e-05	
sna80324	sna93860	150	5.91936171917e-05	
dai62779	dai95741	149	5.87989930771e-05	
dai75645	dai85309	149	5.87989930771e-05	
dai31081	ele32164	148	5.84043689625e-05	
dai75645	gro61133	148	5.84043689625e-05	
dai85309	ele32164	148	5.84043689625e-05	
ele32244	ele66600	148	5.84043689625e-05	
dai43223	ele17451	147	5.80097448479e-05	
dai62779	gro46854	147	5.80097448479e-05	
dai62779	sna72163	147	5.80097448479e-05	
ele17451	sna72163	147	5.80097448479e-05	
ele32164	gro81087	147	5.80097448479e-05	
fro31317	fro32293	147	5.80097448479e-05	
dai43868	sna82528	146	5.76151207333e-05	
dai62779	sna38068	146	5.76151207333e-05	
ele14480	ele17451	146	5.76151207333e-05	
ele26917	gro38983	146	5.76151207333e-05	
ele26917	sna80324	146	5.76151207333e-05	
fro40251	gro46854	146	5.76151207333e-05	
sna55762	sna80324	146	5.76151207333e-05	
dai22177	dai85309	145	5.72204966187e-05	
dai62779	ele66810	145	5.72204966187e-05	
dai62779	sna59903	144	5.68258725041e-05	
dai85309	dai95741	144	5.68258725041e-05	
fro79022	gro46854	144	5.68258725041e-05	
gro38814	sna80324	144	5.68258725041e-05	
sna59903	sna72163	144	5.68258725041e-05	
dai83733	dai85309	143	5.64312483894e-05	
ele32164	gro94758	143	5.64312483894e-05	
fro31317	fro53271	143	5.64312483894e-05	
dai43868	sna82528	142	5.60366242748e-05	
dai62779	dai91290	142	5.60366242748e-05	
dai62779	ele12792	142	5.60366242748e-05	
dai85309	fro31317	142	5.60366242748e-05	
dai87448	gro46854	142	5.60366242748e-05	
ele20847	gro73461	142	5.60366242748e-05	
dai42493	ele17451	141	5.56420001602e-05	
dai55911	dai62779	141	5.56420001602e-05	
dai62779	ele74482	141	5.56420001602e-05	
dai62779	gro99222	141	5.56420001602e-05	
dai62779	sna55952	141	5.56420001602e-05	
dai75645	gro71621	141	5.56420001602e-05	
dai83031	dai94679	141	5.56420001602e-05	
dai85309	sna80324	141	5.56420001602e-05	
fro40251	gro61133	141	5.56420001602e-05	
fro40251	sna96271	141	5.56420001602e-05	
gro21487	gro30386	141	5.56420001602e-05	
gro21487	gro46854	141	5.56420001602e-05	
gro38814	sna45677	141	5.56420001602e-05	
dai23334	ele92920	140	5.52473760456e-05	
dai31081	dai75645	140	5.52473760456e-05	
dai48891	sna45677	140	5.52473760456e-05	
dai62779	fro75586	140	5.52473760456e-05	
fro53271	sna80324	140	5.52473760456e-05	
fro61354	sna80324	140	5.52473760456e-05	
sna80324	sna96271	140	5.52473760456e-05	
dai31081	ele17451	139	5.4852751931e-05	
dai55148	fro40251	139	5.4852751931e-05	
dai62779	ele78169	139	5.4852751931e-05	
dai75645	fro53271	139	5.4852751931e-05	
dai83733	sna80324	139	5.4852751931e-05	
ele17451	sna62128	139	5.4852751931e-05	
fro19221	sna93860	139	5.4852751931e-05	
gro69543	gro73461	139	5.4852751931e-05	
sna45677	sna55762	139	5.4852751931e-05	
dai75645	ele92920	138	5.44581278164e-05	
dai75645	fro92469	138	5.44581278164e-05	
ele66600	gro73461	138	5.44581278164e-05	
fro31317	fro40251	138	5.44581278164e-05	
gro73461	sna80324	138	5.44581278164e-05	
dai62779	gro38983	137	5.40635037018e-05	
dai62779	sna99873	137	5.40635037018e-05	
ele74009	sna45677	137	5.40635037018e-05	
gro73461	gro94758	137	5.40635037018e-05	
dai62779	ele59028	136	5.36688795872e-05	
fro40251	fro80039	136	5.36688795872e-05	
dai62779	ele11111	135	5.32742554725e-05	
dai75645	sna99873	135	5.32742554725e-05	
dai83733	fro40251	135	5.32742554725e-05	
dai85309	gro21487	135	5.32742554725e-05	
dai92600	ele32164	135	5.32742554725e-05	
ele17451	fro78087	135	5.32742554725e-05	
dai55148	ele17451	134	5.28796313579e-05	
dai62779	ele66810	134	5.28796313579e-05	
dai62779	fro79022	134	5.28796313579e-05	
dai63921	ele59935	134	5.28796313579e-05	
dai75645	gro21487	134	5.28796313579e-05	
dai83948	fro40251	134	5.28796313579e-05	
ele17451	sna96271	134	5.28796313579e-05	
gro35122	gro73461	134	5.28796313579e-05	
gro71621	sna45677	134	5.28796313579e-05	
dai22177	gro46854	133	5.24850072433e-05	
dai62779	ele14480	133	5.24850072433e-05	
dai62779	ele88583	133	5.24850072433e-05	
dai62779	fro92469	133	5.24850072433e-05	
dai75645	gro85051	133	5.24850072433e-05	
ele20847	sna96271	133	5.24850072433e-05	
ele99737	gro94758	133	5.24850072433e-05	
dai62779	sna72163	132	5.20903831287e-05	
dai85309	ele34057	132	5.20903831287e-05	
ele26917	sna45677	132	5.20903831287e-05	
fro40251	sna99873	132	5.20903831287e-05	
gro46854	sna80324	132	5.20903831287e-05	
gro73461	sna38068	132	5.20903831287e-05	
gro85051	sna80324	132	5.20903831287e-05	
dai55148	sna80324	131	5.16957590141e-05	
dai62779	dai88807	131	5.16957590141e-05	
dai62779	fro35904	131	5.16957590141e-05	
dai62779	fro99372	131	5.16957590141e-05	
dai75645	ele74009	131	5.16957590141e-05	
dai85309	dai87448	131	5.16957590141e-05	
dai85309	fro66272	131	5.16957590141e-05	
ele26917	sna96271	131	5.16957590141e-05	
ele32164	fro32293	131	5.16957590141e-05	
ele66810	gro73461	131	5.16957590141e-05	
ele74009	gro73461	131	5.16957590141e-05	
fro40251	fro78087	131	5.16957590141e-05	
fro80039	gro73461	131	5.16957590141e-05	
gro59710	gro73461	131	5.16957590141e-05	
dai62779	dai88807	130	5.13011348995e-05	
dai62779	gro38814	130	5.13011348995e-05	
dai62779	sna55762	130	5.13011348995e-05	
dai62779	sna93730	130	5.13011348995e-05	
dai85309	fro79022	130	5.13011348995e-05	
dai95741	gro46854	130	5.13011348995e-05	
ele17451	ele26917	130	5.13011348995e-05	
ele32164	ele66810	130	5.13011348995e-05	
ele69552	fro19221	130	5.13011348995e-05	
ele91337	gro73461	130	5.13011348995e-05	
fro31317	gro30386	130	5.13011348995e-05	
gro46854	sna45677	130	5.13011348995e-05	
dai22177	dai62779	129	5.09065107849e-05	
dai62779	ele69552	129	5.09065107849e-05	
dai62779	fro32293	129	5.09065107849e-05	
dai63921	gro73461	129	5.09065107849e-05	
dai87448	gro56726	129	5.09065107849e-05	
fro40251	gro30386	129	5.09065107849e-05	
fro53271	gro32086	129	5.09065107849e-05	
dai22240	ele37048	128	5.05118866703e-05	
dai75645	ele26917	128	5.05118866703e-05	
dai75645	gro46854	128	5.05118866703e-05	
ele32164	fro80039	128	5.05118866703e-05	
ele74009	sna95666	128	5.05118866703e-05	
ele92920	gro81087	128	5.05118866703e-05	
gro46854	gro71621	128	5.05118866703e-05	
dai62779	sna40784	127	5.01172625557e-05	
dai62779	sna95666	127	5.01172625557e-05	
dai85309	ele59935	127	5.01172625557e-05	
dai85309	fro80039	127	5.01172625557e-05	
dai92600	gro59710	127	5.01172625557e-05	
ele59028	fro85978	127	5.01172625557e-05	
ele91337	gro46854	127	5.01172625557e-05	
fro80039	sna45677	127	5.01172625557e-05	
gro61133	sna80324	127	5.01172625557e-05	
dai62779	sna96466	126	4.9722638441e-05	
ele32164	gro69543	126	4.9722638441e-05	
ele74009	sna80324	126	4.9722638441e-05	
fro40251	gro56726	126	4.9722638441e-05	
gro30386	gro73461	126	4.9722638441e-05	
dai22177	ele17451	125	4.93280143264e-05	
dai42493	ele92920	125	4.93280143264e-05	
dai75645	sna96271	125	4.93280143264e-05	
dai83733	fro85978	125	4.93280143264e-05	
ele17451	fro32293	125	4.93280143264e-05	
ele17451	sna72163	125	4.93280143264e-05	
ele99737	fro19221	125	4.93280143264e-05	
fro31317	sna99873	125	4.93280143264e-05	
dai22177	fro85978	124	4.89333902118e-05	
dai75645	gro81087	124	4.89333902118e-05	
ele17451	ele56788	124	4.89333902118e-05	
ele26917	fro40251	124	4.89333902118e-05	
ele92920	gro59710	124	4.89333902118e-05	
fro40251	sna90094	124	4.89333902118e-05	
fro53271	gro73461	124	4.89333902118e-05	
gro59710	sna45677	124	4.89333902118e-05	
sna45677	sna99873	124	4.89333902118e-05	
dai22177	fro40251	123	4.85387660972e-05	
dai22896	sna80324	123	4.85387660972e-05	
dai62779	dai83948	123	4.85387660972e-05	
dai75645	fro16142	123	4.85387660972e-05	
dai75645	gro15017	123	4.85387660972e-05	
ele74009	gro59710	123	4.85387660972e-05	
fro40251	fro53271	123	4.85387660972e-05	
dai22896	sna72163	122	4.81441419826e-05	
dai31081	dai62779	122	4.81441419826e-05	
dai85309	sna93860	122	4.81441419826e-05	
ele17451	fro85978	122	4.81441419826e-05	
ele32164	gro21487	122	4.81441419826e-05	
fro40251	gro81087	122	4.81441419826e-05	
gro46854	sna90094	122	4.81441419826e-05	
dai43223	gro73461	121	4.7749517868e-05	
dai62779	fro92261	121	4.7749517868e-05	
dai62779	fro99783	121	4.7749517868e-05	
dai62779	sna47306	121	4.7749517868e-05	
dai83733	sna45677	121	4.7749517868e-05	
dai85309	fro78087	121	4.7749517868e-05	
dai85309	gro61133	121	4.7749517868e-05	
dai88807	ele32164	121	4.7749517868e-05	
dai92600	fro40251	121	4.7749517868e-05	
ele17451	gro38814	121	4.7749517868e-05	
